"","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall"
"ano",2.73731236269841,2.25357994360686,2.32774842447461,2.45526499977591,2.55247663135898,2.53813448951794,2.47401971335848,2.6706783922943,2.04910339299437,2.37521948814514,2.40331922733004,2.51307612902145,2.96453954707275,2.56275209476271,2.5696794601011,2.59626177976405,2.46840277626741,2.61257014874304,2.54908337297426,2.47074087642655,2.15089047429049,2.7200236616187,2.43209154890893,2.4595802386786,2.77263119275264,2.74110471365407,2.25623026545691,2.43379942519161,2.75510479265661,2.4460614800977,2.66483359852735,2.27309472354204,2.56693951293341,2.61000884763852,2.20662720342489,2.31266730737271,2.39262255812301,2.52648207925233,2.51590871357917,2.43181771557482,2.57413059573109,2.54466565311488,2.49287761332884,2.55906768810665,2.57521611079461,2.00695824457134,2.59470913854192,2.4958590509106,2.75554759607453,2.65713387304117,2.50462107541514,2.72062039779195,2.86550450951313,2.13063802961103,2.54674773660229,2.6596968516822,2.76079052605393,2.47863359680303,2.40853980879424,2.48414286921799,2.82263393508899,2.1956203826225,2.3654484715509,2.5353600573504,2.33420980468087,2.79622708470136,2.49390771633071,2.12297093464194,2.90216639597208,2.49779636592765,2.30284675068835,2.37339962214764,2.58901869713583,2.53519308261296,2.79217636965252,2.73065737953329,2.41297135290311,2.37580633816981,2.45426307652789,2.43535826579734,2.33973725686661,2.6295775242317,2.40802334324256,2.64902522941501,2.45845852502253,2.64299523502498,2.7012927358347,2.54439729273982,2.87907297677964,2.22853695068008,2.55897527718527,2.60517516644225,2.75461619828119,2.57643599999665,2.54870914011507,2.94743045901785,2.55002245168735,2.44576268821558,2.9131805381163,2.26427645300313
"tipo_de_produccion",7.66501050287586,7.8336981467899,8.92052971835156,7.96633116937091,7.64522226092168,8.25779317767283,8.55897470960142,8.25988290777784,6.84305352585622,8.94094352374817,7.74752186275215,8.7667985817952,8.94969021103029,6.97810220765061,8.97926485845104,9.34832486143895,8.1068395235493,7.63215619543354,7.25734880424258,8.07903056663512,8.64549051539186,9.26315139190549,9.18713980788923,7.13803876819707,8.17240407204258,7.21147147575388,9.5378320851781,8.42652153850422,7.2780229011407,7.74188061387098,8.98941962292614,8.05008359109786,7.89927692160374,9.89703153540382,8.01250549507935,8.37804695413524,7.41275461634344,7.5438444273894,7.8760532538317,6.63826491551483,7.40398892178873,8.53847598281545,6.6832162341439,8.75639233183208,6.51877713696709,8.59873540161685,8.07562441218216,8.32455519157987,7.56036005097125,9.24275451350373,7.38088093038868,7.58727291033564,7.58378193888286,6.60345210310722,7.87426946477571,7.77428367969328,7.4558105852179,8.43484618679647,8.69356369578251,8.30740935686571,7.6148457009564,8.8535175616052,7.87607910236558,8.4413268387104,9.40836797356507,8.2390639857345,7.16324951127639,8.0393899860833,7.44112838060089,9.07514713423262,8.86458666128068,7.3539598765969,8.607757352899,7.63560461621968,8.18883059020555,9.51045844540576,7.9570250607027,8.83169070333081,8.90083690805668,8.63092306806406,8.43864343125528,8.72170314118853,7.75105686479218,7.56418538790506,7.79785715913088,8.47265649213836,7.97401040613974,8.05445548536213,8.19947727340779,9.91262416360513,8.37398368846548,8.71787910664215,7.05060080024642,7.95795436460179,7.66237331891348,8.09522901092867,8.53659940880859,8.86620019262288,8.7268371810923,7.6619576502973
"superficie__ha",2.82449090190333,3.09218341951665,3.06108624122291,3.20613852646411,2.98986072981561,3.15213747551428,3.23257916047729,3.53362889073845,2.83263160421136,2.99080629844033,3.18901221592729,2.99105368633426,3.11703720954113,2.86057539924942,2.82780790143056,2.67401445014451,3.30600024976786,3.49864580773186,2.53701148837056,2.84585066314353,2.97979386648329,2.71066028595109,3.01102833949601,3.28072683749094,2.94167542726663,3.04143048150095,3.20629349677422,2.91336304164667,3.19761277575074,2.66790305542348,3.40317741786289,3.36188247924138,3.10909540299667,3.17572743168458,3.54633307636394,3.21962922081138,2.85735286767383,3.22948002788585,2.90845233867454,2.85266018745165,3.5726925899323,3.2604079264775,3.45417706443977,3.19399371562363,3.28032850615586,3.08444558165717,3.2991245346941,3.11216910654315,3.08793636204196,3.46582569781668,3.22039449178141,3.01969165471061,3.20851412417828,3.47621607671438,2.73979903333693,2.93677718092681,3.20670752193089,2.80388776847914,2.85587142484598,3.14211086615424,2.92951474737357,3.5476955541673,3.14291377874196,3.40209485102131,2.91554194128238,2.87830421306046,2.83368952706931,3.20578347416503,3.009778515107,3.03130703189741,2.91372052902303,2.97668849368442,2.85145084372139,3.06690409305228,3.40200716043891,3.25960885101149,2.77117179977281,3.37512010195906,3.3776542976058,2.84850331455903,3.1214899642119,3.07546752483856,2.98155297990318,3.59747592053368,3.21306541648716,2.85796195383902,3.03984436972108,3.02701581068304,3.06566044897803,2.92520143930932,3.36979723567803,2.86760997021811,2.98094506054424,3.24694836057958,2.52615271039643,3.34933776084669,2.92431146650038,3.24367627903723,3.06274931325597,3.18247647997363
"latitud_n",7.90906849206471,7.35832647383302,8.03300036651428,7.43274398024904,7.86382740958857,7.8412009625214,8.24451562389545,8.27459952131696,7.33028091028975,6.75884125647097,7.79034817682778,9.49495365047673,8.04677925862709,7.60224005834207,8.7180721247578,8.62367750923491,8.13879360417745,7.24944509523218,7.24131900429846,7.89109003420562,6.90963911049029,9.33092365640772,8.80046246451726,7.97767675619937,7.74411930126198,7.41278048878196,8.63803569200762,8.00796873792939,7.26664688402307,7.01549316545927,9.64594575726491,8.4409901260441,7.49023513387105,8.29832498725237,8.38811584767341,8.15100234553597,7.04763766948603,7.12842742894887,7.78908934773002,6.86412933885374,7.81864001516964,8.23980084268037,7.56240238856268,9.13339682866651,6.85750476028689,8.14675870761105,7.09771707105924,7.37296104598614,7.5324639685281,7.9760832250803,7.43308893114299,8.57516752647321,7.24504189652439,7.04021750791669,6.91995982350577,8.29187447032857,8.05852774177093,7.47187384999781,7.77289774017033,9.26865456856276,8.0233762890397,8.66110967341941,8.17735904358206,8.16111746150232,7.12521549899022,8.29580267309585,8.01046014008135,7.23236747828524,7.03510177206434,9.05866848095575,8.15540655033202,7.01426567229689,8.18870810062279,7.72669806295032,7.8732715288603,8.93397956256817,8.30399025772144,8.33204452515554,8.04025790577227,7.1157137511872,7.75838460143537,9.17817597339648,8.04250165107103,7.54076740464827,7.88967597387943,7.71047882338087,7.79409015151136,7.81846162625029,8.13432305268529,8.9714117304828,7.92633867029237,7.97353668490251,6.88226975264334,7.06275349258703,7.77834362558084,7.89276456813878,7.95857455081726,8.74772173315551,8.02610101182279,8.56011765848982
"longitud_w",5.1717536895971,5.23071563233507,6.29330833843868,5.85228201479644,5.12564086669244,5.15874417522405,6.48344353967502,6.01814303251795,5.69204663953079,5.24235126285602,5.73567628526338,5.92247142992523,5.82032102665439,5.19898011696097,6.39125575165052,6.29215576034624,6.63503833279108,6.0020466590393,4.64495328721914,5.25215709989263,6.22350604962548,6.26297641180961,6.55647978744462,6.17354029063675,6.00747063332101,5.61334380691176,6.83713370590064,6.85358215499243,5.40220939329164,3.92679704439139,5.73654413937106,5.92104209285429,6.11887498445115,5.63681854015856,7.32160359322213,5.41031729228299,5.17803465493872,5.96812153660431,5.04737168343334,4.81290629333574,6.63442445403175,5.70627255130893,5.86385908850163,6.44544011862272,4.40786759608285,5.34982977946632,6.04126526926992,5.82968694472844,5.72828226560261,5.93775977232851,5.99901765202363,6.17414892332363,5.0843569467985,5.5358614657252,4.78656696513012,6.16491216092122,5.48812342036495,5.71353781059696,5.80084052071508,6.12425408868735,6.01109159077825,6.88360286089552,5.86071139793027,5.9723542128659,6.71467301815873,5.83313786360326,5.17985227516479,5.91023844416069,5.10370882933493,6.74158023454577,6.37469670521827,5.83636298586498,6.10031606223233,5.14377619545504,5.37639709044507,5.96429436777913,6.27305589636044,6.2683385211021,5.7975434070151,5.71689372304675,6.0050659678984,5.95471097796393,5.10747443192955,5.2343506132951,6.51665651742396,5.90210429358114,4.62631484849747,6.04925945811169,4.82046949731461,5.18153625852836,5.02053822972848,6.14443634676561,4.69850114634566,5.66813705347942,5.70906602973081,5.75859241779942,5.76663662075095,6.44871792858056,6.15273368658663,6.01592585580352
"tipo_de_parcela__testigo_o_innovacion",0.282465705549449,0,0,0,0,0,0,0,0.165588976068994,0.0478169688946217,0,0,0,0,0.379696757531897,0,0,0.0470169913577828,0,0,0,0,0.508696652484289,0,0,0,0,0,0,0,0.0777524111761326,0,0,0.45707330427266,0,0,0,0,0.281881852034236,0,0,0,0,0.0321431707284272,0,0.725776052983132,0,0,0,0,0,0,0,0,0,0,0,0.131510542687211,0,0.198385334599811,0.145545906982184,0.154491232531277,0,0,0,0,0,0,0.286782094966631,0.531855164049127,0.114439075642709,0,0,0.461018211815795,0,0.00318960463719683,0.00434225195385264,0,0,0,0,0,0.19746194988733,0,0,0,0,0.33523120878279,0.178764788543661,0.232323838462876,0,0,0,0,0.26612830280475,0.462175853561337,0,0,0,0
"tipo_de_labranza",0.643402146243659,1.28754307887033,1.52551251222663,1.03340873108856,0.913102306553123,0.96290747763876,0.823925617799868,0.769571148623999,0.966609481537611,0.683399897410796,0.940955194760604,1.00857877428449,0.580379733643465,0.611936626339323,0.565665979763695,0.601839263492494,1.10408541477276,1.01830821854424,0.637590623741455,1.35329955510431,0.905426038531664,0.617286321731103,0.567479202612709,0.830766587883673,0.760860472781803,0.720155486424796,0.291662515525949,0.868325835478799,0.930957531352897,1.08077076176536,0.265240326065898,0.658993101626788,1.06951524793364,0.668892863381425,0.969098689516325,0.959538202900731,0.527328673778378,1.20615304193348,1.30750151683826,1.30781270146092,0.845955708039645,0.322005979284016,0.662929820005524,0.582289851019675,1.09730096145168,1.24726866740694,1.21950532989094,1.24786112991554,1.22707934353333,0.404380107537788,0.886631917329549,0.524818466525436,1.27268939180482,1.2151592523283,1.2714236434411,0.867734380383128,1.12106150035973,0.416576807876287,0.729361156828294,0.393727326580597,0.80436612405766,0.773058883912534,1.13338541573827,0.950825567638972,0.736218648754468,1.01097138493606,0.839097758289248,0.331735381760878,0.668813758779123,0.765824757769976,0.770238548298415,1.29643209100959,0.795443412903308,0.795160806920119,0.514191453696041,0.891986205853364,1.16756600491002,0.852545470495819,0.471420280235039,1.44059065886156,0.904831205499455,1.09399291734957,0.800302788477243,1.37608669138296,1.05649227053757,1.21261038472532,0.859000987783951,0.498534309241657,0.464858926357466,1.02653118148233,0.789972669774864,1.33859405950217,1.20853595496752,0.963973267505961,1.41543322721249,0.651199603914944,1.1372434844095,1.00487956535915,0.746675381022675,1.41116738667273
"PREPARACIONSUELOCONHERBICIDA",0.651184202180366,1.2177264678441,1.29858138358528,0.658278960990814,1.32718179532939,1.45754031883954,1.31888209702564,0.934164131426414,0.822916550743159,1.29655442541154,0.828716472585027,0.785210986251399,0.956007846687615,1.06243331203049,0.617927405565055,0.585580921677036,0.46059305588089,1.47167260172979,1.15034395028437,1.31089463277127,1.51079144192002,0.738794762363032,1.23783182008886,1.28289831368207,0.72754529954505,1.01261247672965,1.14727709366368,1.02790391636504,1.39021005607811,1.42541282716411,0.4264134305477,1.28553943603562,1.09028295985618,1.41926888964992,0.506279761714669,0.993450017102381,1.33711139377721,1.65391531525964,1.2885264285442,1.69664878728539,1.5441834288292,0.731176494750736,0.766671602766758,0.405104005822917,1.07664658929211,1.58873474460974,1.11994208650938,1.47680744598983,1.60976815198225,0.809343060968219,0.923637887016542,0.928520311759157,1.07639179397975,1.19098536826698,1.4305470805685,1.31131155472556,0.863170939814113,0.794752792246125,0.965500478684652,0.612088255326327,0.48453620088158,0.716048652803598,0.920954856844649,1.01168340917325,0.991371321498292,0.779759132253495,1.0086388920463,1.14436251426656,1.10648652501291,0.251695837448232,1.05870600930198,1.71078901077372,1.42164733118092,0.278499610259066,1.18227214000046,1.20864873215639,1.23657457295887,1.11052859995534,0.987697150363918,1.34093758417169,0.941847275644996,0.896989841117487,1.20787823435777,1.29416319562169,1.34069304100639,1.20597994685776,1.29632433190751,0.961948518018449,1.19027262854914,1.30004732803497,1.00887426751673,1.07758999592944,1.31554713543579,1.39942666146882,1.10229346562422,1.04737419790573,1.47339452771078,1.76885439663941,1.30575756939682,1.55981573235166
"FERTILIZACIONQUIMICAALSUELO",2.55372146171111,3.9596482793237,2.98600096380819,3.30841909497728,3.17859827445827,3.39657526384405,3.58919714924408,3.55536201331604,2.48073683831183,3.65262536282018,3.20518426571552,3.46401413778334,3.30491132960318,2.77111529586431,3.59327746406125,3.20791072952521,3.3588574564341,3.27341271620124,2.5494469127667,3.36741533841059,3.35944802856976,3.04696294957092,3.20166084287983,3.41024309757044,2.70700970055464,3.07985976929596,3.07493658578875,3.35003823566881,3.33892183440421,2.85138450552388,2.67269744742162,3.71799729901364,3.36193640589388,3.34000402763361,2.6177808922887,4.21587894518812,3.09683721021408,3.51074298345255,2.77335050550067,3.87801544126044,3.08051619235694,3.36636753664436,2.93977545297122,3.79252576253243,2.7575949899255,2.57933901971746,3.4981878346295,4.09338437533665,3.28779450468505,2.84617601407169,3.09842344340034,2.79817434411694,3.66756352077894,3.64802522471597,3.14767390654462,2.85312638936977,3.47105444741588,3.02652422407078,3.15180887002754,3.09107300588745,3.35316530471913,3.43182509391907,3.67890716985575,3.17861015365603,3.1213551823653,3.71564986877335,2.34610026825807,3.40067795824684,2.80797482792227,3.02681175630742,4.01680695032436,3.16688193724869,2.7418429413717,4.05182430174231,3.38959245628352,3.51548322507758,2.89880774353857,3.15389061352879,3.70502894872443,2.89591855278845,3.34515303262766,3.04501451924699,2.99175572349689,3.07796476180205,2.84369849986346,3.17423549451464,2.89076548624215,3.49583171582923,3.23825264217979,3.44924128248167,3.70251727270784,2.91307475093298,3.48221659132652,3.48365129406811,3.04329153690639,3.032683039413,3.11002492918803,3.36969649650085,3.08199565324399,3.31328251438132
"FERTILIZACIONQUIMICAFOLIAR",0.86379343698407,1.30372210067996,1.02311014495364,1.25246263868177,1.75433985930584,0.832667329740617,1.63227264097498,0.902819030621985,1.19547604279859,1.27740345813737,1.16065558146495,0.891947746466127,0.912866016422117,1.18045231704772,1.37094297299146,1.22874589278052,1.11519875186407,1.2351684616351,0.861259316522926,1.52208192473211,0.862436898393412,0.935336881047964,1.10631253637566,1.38765643006752,1.51685497144032,1.58146953073019,1.2621245574848,1.23198510577276,1.53747404713872,1.29857339571185,1.32285709986574,1.54534077828752,1.1996544528477,1.65035907323118,1.20565722168467,1.24799391977448,0.905046063076489,1.8827304149677,0.906604222191113,1.30320229284966,1.53855251143254,1.2041785635543,1.59682590302215,1.09151031430803,1.57635382290971,1.49052692320409,1.32955316409633,1.03726110984132,1.02646342935154,1.19646213395573,1.42651709462848,0.980763075078849,1.58847112760588,1.60919250164083,1.36886583963557,1.50647658148065,1.15574082507956,1.32119585802863,1.40700977877304,1.23066386687402,1.18689375251857,0.608357006681849,1.07455341740787,0.983574957309431,1.30347494530919,0.975250386308799,0.734842722455762,1.53697882494998,1.65619112682359,1.14329228621524,1.6144287349016,1.29008464500334,0.952641813061022,1.31723851918035,1.28522253825182,1.77013411588223,0.964629371197407,1.202177707134,1.73729155006697,1.55290646061869,1.31847114267949,1.33497521086182,1.35834535040486,1.41163148271485,1.36837225388213,1.82163803559089,1.54501390478623,1.14190559177811,1.28493699670329,1.31101176923345,1.06490723588262,1.33324147293471,1.55466870623262,1.47120125093783,0.388832292653961,1.56221649474069,1.20730415959526,1.36134765171886,1.10508511626044,1.20133583379954
"USODEBIOFERTILIZANTES",0.719643465581261,0.984008104423042,0.648763329946747,1.32593591591041,1.35503231191031,0.889151555936561,0.62215328518187,0.602058001326963,0.959112482575916,0.950587303403238,1.17578343868587,0.235079932766267,0.640375639882425,0.795801694822383,0.675962962805141,0.948347420630722,1.27693584933283,1.07526528119743,1.15216709848558,1.09177305225162,0.612760258698212,0.850998586701972,1.24554763799893,0.730810583325905,1.38221702304445,1.23390493189934,0.820858262074054,0.90009872017427,0.928720754560538,0.505374577628747,1.03600855334586,1.04331782467223,0.749151013531004,0.497607880771681,1.06368635175292,0.907758498390911,0.859847679447545,1.28388818325038,0.795321815392059,1.25638161933364,0.928254978269853,1.02700277983246,1.23179582384147,0.488507691763163,0.975532306993541,1.29690716039671,1.2796222013018,0.613323999640687,1.14860734466743,1.03217547329499,1.15137152704714,0.93882189707548,1.01575616380328,1.16912678991484,1.1781368331823,1.31527242161373,0.894879113478625,1.30280603936472,1.03861039880737,0.986418915633456,0.771761006105396,0.842265360893837,0.211417064757102,0.984141336740006,1.10604377163061,1.15652763532503,0.927315487614146,0.423845879598534,1.06734867155985,0.944401203122746,0.851764763299125,0.963598035731128,1.07075282940951,0.8633959816233,0.984915032345073,0.599662071811572,0.90657595071502,1.30601425613479,1.0765380111228,1.31833726087721,1.1471716594985,0.794969966416555,1.02866895337809,1.2046927240785,1.03794218201138,1.27402187129541,0.9971862539623,0.958214021171566,1.15236579376763,0.758581443453493,0.959344571829887,0.900609765789106,1.13593203184706,0.995687909905329,0.220334950971365,1.16820635341738,1.16293730683189,1.55397316424729,0.937048716827114,0.947335973529828
"USODEMEJORADORES",0.582546510634934,1.05142996664553,1.68123315710358,0.796084687383107,1.32518220907576,0.782967051418904,0.669595152176466,0.2155401399432,0.626558129729671,0,0.806799812616069,0.681534460530071,0.32234000905393,0.674893512200084,0.8073115290738,1.27753046734133,0.357976518817199,0.737522442025291,0.298277421001182,0.912186288669625,1.20065093114848,1.07214498822176,0.970299832809608,0.514563497980594,0.935494642617685,1.08848169753197,0.666311823661104,1.01052428346621,1.01680332211521,1.03330125167549,0.725763983367863,1.00504194429274,1.05089669669165,0.979620058203357,0.638495724305782,1.17755708076013,0.664699178948993,0.890941475582687,1.0196355685285,0.736976233861874,0.935335714294054,0.503651972495666,0.993705051763599,0.852226379296425,0.779788668414493,0.802507868326519,0.827898860195238,0.128794901566127,0.838177446441608,1.20491875698978,0.772658252315893,0.18086168554886,1.45808009406691,0.776108956477734,0.90719353778702,1.25556634171905,0.94066040867164,0.720696768841473,1.03007844089313,0.558800966316525,0.618871984979612,0.318598101345394,0.612497667635722,0.879689114795236,1.38519665987069,1.20024665893584,0.482212577043146,0.578436630207532,0.979594243173557,0.604919671712153,0.691576541437098,1.53173636080398,0.945655938066231,1.22642607053441,0.940456528905047,1.21534391273717,0.349415784283729,0.83208872205327,0.357766022255437,0.784246798278946,1.24250610624195,1.20757758315492,1.01474392744149,0.910654537775751,1.10005905992306,0.841272916626481,0.837686803651643,0,0.801729618525494,1.60031243584667,1.24131321734546,1.15306497529272,1.04535619825957,1.1040351888193,0.851216671334421,1.15418014846966,0.810838333230978,0.786138924260229,0.959474107220449,0.691522549195424
